conf	year	passcode	resid	ResourceType	ResourceType_clean	resourceName	resourceName_clean	ResourceProdStatus	ResourceProdStatus_clean	ResourceLang_1	ResourceLang_1_clean	ResourceLang_2	ResourceLang_2_clean	ResourceLang_3	ResourceLang_3_clean	ResourceLang_4	ResourceLang_4_clean	ResourceLang_5	ResourceLang_5_clean	ResourceLang_O	ResourceLang_O_clean	langdim
LREC2012	2012	936		Corpus		"ILCI corpora"		"Newly created-in progress"		Classical Arabic												Mono
LREC2012	2012	1021		Corpus		"Cultural Heritage item - Wikipedia match"		"Newly created-finished"		English 												Mono
LREC2010	2010	670X-F8E8B2J2E3		Corpus		"GALE Phase 4 Chinese Parallel Word Alignment and Tagging Part 1"		"Newly created-finished"		Chinese		English										Bi
LREC2012	2012	150		Tagger/Parser		"LFG Grammar of Polish"		"Newly created-in progress"		Hindi 												Mono
IJCNLP2011	2011	306		Corpus		"Basic Travel Expression Corpus (BTEC)"		Existing-used		Danish		Dutch		English		Mandarin Chinese		Standard Arabic				Multi
LREC2010	2010	817X-G6P5C9D6A3		Corpus		"Chinese menu corpus"		"Newly created-finished"		Chinese												Mono
COLING2010	2010	179X-D9G9P6B3D9		"Annotation Tool"		MaltConverter																"Not Specified"
LREC2010	2010	712X-P6D9F7P6H9		"word-to-word aligner"		GIZA++		Existing-updated		LI												Mono
COLING2010	2010	792X-F3J6G2D2J6		Corpus		DUC2002																"Not Specified"
LREC2012	2012	844		Corpus		"RWTH-PHOENIX-Weather Corpus"		"Newly created-in progress"		American English 		German 		Spanish 								Tri
LREC2010	2010	269X-F7G3A6A3C9		Corpus		"D-Coi corpus"		"Newly created-finished"		Dutch												Mono
LREC2012	2012	705		Lexicon		"Kazakh to Chinese Dictionary Database"		"Newly created-finished"		LI												Mono
O-COCOSDA2011	2011	18		Corpus		"Fisher English Training Speech"		Existing-used		English												Mono
